COMMON 		 BOTANICAL 		 DESCRIPT 		 ID 		 GROWTH"""" 		 
Cedros Island Verbena 		 Verbena lilacina 'De la Mina' 		 Baja California native grows to 3' x 3'. Fragrant purple flowers attract butterflies. Long bloom season at coast. Prefers well-drained soil; low water. Zones 7-10. 		 VerbLilaDLM 		 to 3' h x w; purple""" 		 

Dwarf Blue-eyed Grass 		 Sisyrinchium bellum 'Nanum' 		 Very cute compact plant grows to 8" high x 12" wide. Light blue flowers with yellow centers. Sun to part sun; well-drained soil. Summer dormant. Zones 7-10. 		 SisyBelNan 		 8" h x 12" w"""" 		 

Harlequin Butterfly Bush 		 Buddleja davidii 'Harlequin' 		 Slightly arching habit. Grows to 5-8' h x w. Gray-green leaves with white margins; reddish-purple flowers attract butterflies. Prune to 12-18" after 1st year. Zones 5-10. 		 BuddHarleq 		 5-8' h x w; magenta""" 		 

Violet Intrigue Lavender 		 Lavandula angustifolia 'LAVANG21' 		 USPP #15344. Dense, mounding, upright plant to 2' x 2'. Profuse violet bloom. Full sun; well-drained soil. Prune after first bloom to encourage second bloom. Zones 5-10. 		 LavViolIntr 		 2' h x w in bloom"""" 		 

Coyote Tobacco 		 Nicotiana attenuata 		 Santa Margarita-collected native grows to 3'. Sticky, hairy leaves with profuse white tubular flowers. Sun; well-drained soil. Native ceremonial. Annual. 		 NicoAtten 		 to 3' h; annual"""" 		 

Hidcote Superior Lavender 		 Lavandula angustifolia 'Hidcote Superior' 		 Uniform shape to 16" h x 18" w. Silver-gray foliage topped with deep purple-blue flowers. Prefers sun; low water; well-drained soil. Fragrant. Prune to shape. Zones 5-10. 		 LavHidSup 		 16" h x 18" w"""" 		 

Blueblossom 		 Ceanothus thyrsiflorus 		 Shrubby native grows 3 to 18' high depending on conditions. Use as screen or hedge. Prefers part shade inland. Blue flowers. Low water; well-drained soil. Zones 8-10. 		 CeanThyrs 		 varies: 3-18' h"""" 		 

Gotu Kola 		 Hydrocotyle asiatica 		 Traditional medicinal herb is also culinary with parsley/carrot flavor. Rounded-leaf creeper grows to 6" high & spreading. Part sun; regular water. Zones 8-11. 		 HydroAsi 		 to 6" h & spreading""" 		 

Ruby Glow Spurge 		 Euphorbia amygdaloides 'Ruby Glow' 		 USPPP. Bright red new growth darkens to near-black. 12-18" h x 18" w. Chartreuse bracts in summer. Prefers sun; well-drained soil. Zones 6-10. Propagation prohibited. 		 EuphRubyG 		 12-18" h x 18" w"""" 		 

Showy Milkweed 		 Asclepias speciosa 		 California native. Silver green leaves with fragrant pink & white star-shaped flowers. To 3' tall. Sun; low to average water. Monarch host plant. Zones 4-10. 		 AsclSpec 		 to 3' tall; pink bloom 		 

Sweet Springs Beach Primrose 		 Camissonia cheiranthifolia 		 Local native grows in coastal sandy or dune areas. Silver-gray leaves with bright yellow flowers. Grows to 6" h x 3' wide. Full sun; low water. Zones 8-10. 		 CamCheir 		 6" h x 3' w"""" 		 

Purple Pillow Geranium 		 Geranium 'Purple Pillow' 		 USPP #12829. Patented; propagation prohibited. 6-8" h x 10-15" w. Zones 4-9. 		 GerPurpPil 		 6-8" h x 10-15" w"""" 		 

Frenzy Blanket Flower 		 Gaillardia x grandiflora Commotion 'Frenzy' 		 USPP #19943; Patented, propagation prohibited. 18-24" h x 24" w. Zones 5-10. 		 GailFrenzy 		 18-24" h x w"""" 		 

Coral Aloe 		 Aloe striata 		 Blue-green leaves with thin pink/red edges. Flowers are orangey-red. Prefers low water; sun to part sun; well-drained soil. Protect from frost & extreme heat. Zones 9b-11 		 AloeStriata 		 1-2' h x 2-3' w"""" 		 

Purple Needle Grass 		 Nassella (Stipa) pulchra 		 California's State Grass. Perennial with very deep roots; drought tolerant; can live 100+ years. Prefers sun; most soil types. Flowers to 2' high. Zones 7-10. 		 NassPulch 		 2-3' h x 12" w"""" 		 

Golden Yarrow 		 Eriophyllum confertiflorum 		 CA native grows 1-2' h x w. Prefers sun; well-drained soil; low water. Attracts bees & butterflies. Ferny gray-green leaves with bright gold flowers. Zones 7-10. 		 EriophConf 		 1-2' h x w"""" 		 

Catherine de la Mar Penstemon 		 Penstemon heterophyllus 'Catherine de la Mar' 		 Broader-leafed penstemon with vivid lavender-blue-pink flowers. Grows 16" h x 24" w. Prefers sun; well-drained soil; low to average water. CA native selection. Zones 6-10 		 PensCathM 		 16" h x 24" w"""" 		 

Mexican Tulip Poppy 		 Hunnemannia fumariifolia 		 Perennial grows to 2' h x w. Blue-gray leaves are topped with bright yellow flowers in summer. Prefers sun, well-drained soil; low water. Native to Mexico. Zones 9-11. 		 HunnFuma 		 to 2' h x w"""" 		 

Valley Violet Wild Lilac 		 Ceanothus maritimus 'Valley Violet' 		 Nice lower growing & mounding native. Pretty lavender-violet flowers in winter. Grows to 2' h x 3-4' w. Prefers sun; well-drained soil; low water. Zones 8-10. 		 CeanValViol 		 to 2' h x 3-4' w"""" 		 

Desert Agave 		 Agave deserti 		 Southern California & Arizona native prefers sun & low water. Gray leaves to 18". Very tall flower spikes produce yellow bloom. Native food source. Zones 7b-10. 		 AgaveDesert 		 leaves to 18""""" 		 

Cooke's Purple Smoke Tree 		 Cotinus coggygria 'Cooke's Purple' 		 Deep purple foliage w/ reddish-purple smoke-like flowers. Grows 20-25' h x 15'+ w. Holds color even in heat. Full sun; variety of soils; drought tolerant. Zones 5-10. 		 CotinCPurpl 		 20-25' h x 15'+ w"""" 		 

Johnson's Aloe 		 Aloe 'Johnson's Hybrid' 		 Narrow green leaves topped with orange flowers over long bloom season. Grows to 12" high & spreading. Sun- part shade; low water; well-drained soil. Zone 8b w/protection. 		 AloeJohnson 		 to 12" h; orange"""" 		 

Raspberry Ice Coral Bells 		 Heuchera 'Raspberry Ice' 		 USPP #13340. Purple & silver leaves with deep, rose-pink blooms. Grows 10" x 24" with flowers to 24". Part shade; low to average water; well-drained soil. Zones 4-10. 		 HeucRaspIc 		 12" h; bloom to 24" h" 		 

Ocean Spray / Cream Bush 		 Holodiscus discolor 		 CA & Western US native. Deciduous shrub to 5-7' h x w. Sun to part shade; some water; variety of soils. Sprays of creamy-white flowers. Red leaves in fall. Zones 5-10. 		 HoloDisclr 		 5-7' h x w"""" 		 

Baja Live-forever 		 Dudleya ingens (D. viridicata) 		 Baja California native. Narrow green leaves with red stipples to fully red with drought. Full sun; low water. Unusual plant. Pinkish flowers with yellow tints. Zone 9b-11 		 DudIngens 		 10" rosettes"""" 		 

Aeonium Hybrid 		 Aeonium x 'Cyclops' Hybrid 		 Open-pollinated seed from 'Cyclops' parent. Plants range in color from green to deep red-bronze. Prefer sun; low water; drought-tolerant. Frost tender. Zones 9-11. 		 AeonX 		 open-pollinated"""" 		 

Blue Rug Juniper 		 Juniperus horizontalis 'Wiltonii' 		 Fast grower to 6" high, spreading to 4-6' wide. Fine-textured leaves; dense foliage; silvery-blue tint. Can be used as groundcover or on banks. Zones 4-10. 		 JuniWiltoni 		 to 6" h x 4-6' w"""" 		 

Sweet Drift Rose 		 Rosa 'Meiswetdom' 		 PPAF. Light pink double blooms. 1-2' h x 2-3' w. Zones 4-11. Propagation prohibited. 		 RosaSwtDrf 		 1-2' h x 2-3' w"""" 		 

Chomley Farran Dianthus 		 Dianthus caryophyllus 'Chomley Farran' 		 Hard to find plant. Silver foliage to 15" h x w. Arching stems topped with large dusty-lavender & hot pink striped flowers. Light fragrance. Sun; avg. water. Zones 6-10. 		 DianthChomF 		 to 15" h x w"""" 		 

Silver Dollar Plant 		 Crassula arborescens 		 Thick blue-gray leaves edged with red. Likes sun to light shade; well-drained soil; low water. Can grow to 10' high. South African native. Zones 10-12. 		 CrassArb 		 can reach 10'"""" 		 

Sierra Salmon California Fuchsia 		 Epilobium (Zauschneria) 'Sierra Salmon' 		 California native plant grows 1-2' high & wide. Bright salmon flowers over silver-gray leaves. Hummingbird favorite. Prefers sun to part shade; low water. Zones 8-10. 		 EpiSierSalm 		 1-2' h x w"""" 		 

Sea Thrift 		 Armeria maritima 'Splendens' 		 Small mounds of grass-like leaves topped with pink globe-shaped flowers. Prefers poor, dry, well-drained soil & full sun. Tolerates seaside conditions. Zones 4-10. 		 AmerSplend 		 4-6" h x 12" w"""" 		 

Fairy Rose 		 Rosa 'The Fairy' 		 Shrub rose grows 2-3' high & wide. Heavy clusters of pink flowers. Prefers sun; average water; well-drained soil. Tolerates drought. Disease resistant. Zones 5-9. 		 RosaFairy 		 2-3' h & w; pink"""" 		 

Iceberg Rose 		 Rosa 'Iceberg' 		 Floribunda type with long bloom season. White flowers tinted with pink in some seasons. Prefers sun; well-drained soil; regular water. Grows 4-6' h x 3-5' w. Zones 4-10. 		 RosaIceB 		 4-6' h x 3-5' w"""" 		 

Figueroa Sage 		 Salvia leucophylla 'Figueroa' 		 Stunning silver CA native topped with lavender-pink flower whorls. Grows 3-5' h x 5'+ w. Attracts bees, hummingbirds. Sun, low water. Fragrant leaves. Zones 7-10. 		 SalvLeuFig 		 3-5' h x 5'+ w"""" 		 

Tuscarora Crape Myrtle 		 Lagerstroemia x 'Tuscarora' 		 Deciduous shrub to 15' h x w; can be trained to tree form. Reddish-pink blooms over long season. Full sun; regular water 1st year; irregular deep water after. Zones 6-9. 		 LagTuscar 		 to 15' h x w"""" 		 

Catawba Crape Myrtle 		 Lagerstroemia indica 'Catawba' 		 Deciduous shrub to 15' h x w; can be trained to tree form. Purple blooms over long season. Full sun; regular water 1st year; irregular deep water after. Zones 7-9. 		 LagCatawb 		 to 15' h x w"""" 		 

West Cuesta Coffeeberry 		 Rhamnus californica - West Cuesta 		 Collected on Cuesta Ridge, CA. 1-3" green leaves on 8'+ bush. Berries turn from green to red to black. Full sun to part shade; little to moderate water. Zones 7-10. 		 RhamCalWC 		 8'+ h x w"""" 		 

Black Lake Coffeeberry 		 Rhamnus californica - Black Lake 		 Collected on Nipomo Mesa, CA. 1-3" green leaves on 8'+ bush. Berries turn from green to red to black. Full sun to part shade; little to moderate water. Zones 7-10. 		 RhamCalBL 		 8'+ h x w"""" 		 

Los Osos Twinberry 		 Lonicera involucrata - Los Osos 		 Collected in Los Osos, CA. Honeysuckle relative with red-orange trumpet flowers. 6-8' high; sun to part shade; California coastal native. Zones 4-10. 		 LonInvolLO 		 6-8' h x w; red-orange 		 

Black Lake Twinberry 		 Lonicera involucrata - Black Lake 		 Collected at Black Lake, CA. Honeysuckle relative with red-orange trumpet flowers. 6-8' high; sun to part shade; California coastal native. Zones 4-10. 		 LonInvolBL 		 6-8' h x w; red-orange 		 

Hidcote Blue Lavender 		 Lavandula angustifolia 'Hidcote Blue' 		 Medium green-gray foliage on 1 1/2-2' tall plant. Blue flowers on fairly short wands. Full sun; moderate water. Do not mulch w/organic material. Zones 4-10. 		 LavHidBlue 		 18-24" h"""" 		 

Plum Crazy Wood Sorrel 		 Oxalis 'Plum Crazy' 		 PPAF - New introduction! Pink, burgundy, fuchsia, & green splashed leaves with yellow flowers. Grows 6" h x 12" w. Prefers shade to part shade; regular water. Zones 8-11. 		 OxalisPlum 		 6-8" h x 12" w"""" 		 

Crinkle-Leaf Plant 		 Adromischus cristatus 		 South African succulent. Pale green, wide, fleshy leaves w/ wavy tips. Prefers sun; well-drained soil; low water-esp. in winter. Grow in pots or in ground. Zones 9b-11. 		 AdroCris 		 under 6""""" 		 

Ballerina Red Thrift 		 Armeria pseudarmeria 'Ballerina Red' 		 Grows to 1' high & wide with red pom-pom blooms over long season. Likes sun to part shade; tolerates heat, salt, clay, and dry conditions. Low water. Zones 6-10. 		 ArmerBalRed 		 to 12" h x w"""" 		 

Plantain Thrift 		 Armeria alliacea 		 Compact grower to 6" h x 12" w. Pale pink flowers stand above foliage. Full sun; low-average water. Good in borders & rock gardens. European mountain native. Zones 5-9. 		 ArmerAllia 		 6" h x 12" w"""" 		 

Graptoveria 'Debbie' 		 Graptoveria 'Debbie' 		 Perennial succulent grows to 6" rosette with thick pink-purple leaves. Prefers well-drained to sandy soil. Some water in summer. Sun to part shade. Zones 9b-11. 		 GraptovDeb 		 to 6" rosette"""" 		 

Hen & Chicks 		 Echeveria secunda 		 Blue-green rosettes stay under 6" high. Flowers are red-orange tipped with yellow. Prefers sun; well-drained soil; low water. From Mexico. Zones 9-11. 		 EchSecunda 		 rosettes under 6""""" 		 

Giant Feather Grass 		 Nassella (Stipa) gigantea 		 Native to Spain. Flowers to 6' high; blooms in summer. Leaves to 18" x 4' wide. Prefers sun; average water. Drought tolerant when established. Nice accent. Zones 5-10. 		 NassGigan 		 4' w; bloom to 6'"""" 		 

Elvira Red Hot Poker 		 Kniphofia 'Elvira' 		 USPP #22134. Patented; Propagation Prohibited. Bright orange to 30" tall. Zones 5-9. 		 KniElvira 		 to 30" in bloom"""" 		 

Pozo Blue Sage 		 Salvia 'Pozo Blue' 		 3-5' high x wide with green-gray leaves & blue-violet flowers. Tolerates range of soils. Likes sun; low to moderate water. Fragrant. From Las Pilitas Nursery. Zones 7-10. 		 SalvPozoB 		 3-5' h x w"""" 		 

Flamingo Glow Mexican Lily 		 Beschorneria yuccoides 'Flamingo Glow' 		 Striking accent plant has variegated leaves to 3-5' long; pink flowers to 6' high. Sun at coast; part shade inland; low water; well-drained soil. Slow grower. Zones 8-11. 		 BeschFlamG 		 3-5' w/6' bloom"""" 		 

Jupiter's Beard 		 Centranthus ruber 'Coccineus' 		 Long bloom season. Grows 2-3' h x w. Prefers sun; low to average water; well-drained soil. Good cut flower. Attracts butterflies. Deadhead for best bloom. Zones 4-10. 		 CentRubCoc 		 2-3' h x w"""" 		 

Hairy Goldenaster 		 Heterotheca villosa 'San Bruno Mountain' 		 AKA Chrysopsis. CA native grows to 6-12" h x 1-3' w. Sun to light shade; moderate water. Yellow daisy-like flowers attract butterflies. Long bloom season. Zones 8-10. 		 HetVilSanBr 		 6-12" h x 1-3' w"""" 		 

Storm Cloud Lily of the Nile 		 Agapanthus 'Storm Cloud' 		 Large, showy dark blue-purple flowers are 6" across.  Leaves grow 1-2' h x 2-3' w; flower stalks to 3-5'. Average soil & water. Sun to part shade. Zones 7b-10. 		 AgapStormC 		 to 3' h in bloom"""" 		 

Variegated Tequila Agave 		 Agave tequilana 'Variegata' 		 Upright gray-green leaves with cream margins / striping. Grows 4-6' h x w. Sun to part sun; low water. Blooms after 10+ years. Drought tolerant. Zones 9b-11. 		 AgaveTeqVar 		 4-6' h x w; edible sap 		 

Catmint 		 Nepeta x faassenii 		 Mounding plant grows 1-2' h x 1 1/2-3' wide. Gray-green leaves topped w/ blue-violet flowers. Full sun; well-drained soil; low to average water. Fragrant. Zones 3-10. 		 NepXFaas 		 1-2' h x 1 1/2-3' w""" 		 

Silver Carpet Lamb's Ear 		 Stachys byzantina 'Silver Carpet' 		 Groundcover to 6" h x 30" w. Soft, hairy leaves. Prefers sun; low water; well-drained soil. Rarely flowers. Does not like overhead water or humidity. Zones 4-10. 		 StachSilvCr 		 to 6" h x 30" w"""" 		 

Early Bird Radiance Dianthus 		 Dianthus 'WP09MAR05' Radiance 		 USPP #21824. Patented; Propagation Prohibited. Bright red double bloom. Sun; low water. Zones 6-10. 		 DianthEBRad 		 up to 8" h x 10" w"""" 		 

Blue Star Spanish Lavender 		 Lavandula stoechas 'Blue Star' 		 Compact grower to 16" h x w. Prefers sun; low water; well-drained soil. Drought tolerant. Blue flowers topped with violet-blue brachts. Fragrant leaves. Zones 8-10. 		 LavBluStar 		 to 16" h x w"""" 		 

Mango Lassi Geum 		 Geum coccineum 'Mango Lassi' 		 Compact plant 12-16" h x 12-24" wide. Showy mango flowers late spring to summer. Sun-part shade; well-drained soil; regular to moderate water. Good in borders. Zones 5-9. 		 GeumMangLas 		 12-16" h x 12-24" w""" 		 

Winter Lace Lavender 		 Lavandula stoechas 'Winter Lace' 		 USPP #18280. Patented; Propagation Prohibited. Grows to 2' h x w. Sun; low water; well-drained soil. Lavender brachts above purple flowers. Zones 8-10. 		 LavWintLac 		 to 2' h x w"""" 		 

Little Maid Torch Lily 		 Kniphofia 'Little Maid' 		 Dwarf variety grows 1-2' h x w. Lemon flowers fade to white. Blooms spring into early summer. Prefers sun; low water. Drought tolerant. Zones 6-10. 		 KniLitMaid 		 1-2' h x w"""" 		 

Chameleon Plant 		 Houttuynia cordata 'Chameleon' 		 Grows 6-12" h x 2-3' w with multi-colored foliage. Sun at coast; part shade inland. Likes moist soil; tolerates bogs & water gardens; also tolerates dry. Zones 5-10. 		 HoutCordCh 		 6-12" h x 2-3' w"""" 		 

Grape Nectar Agastache 		 Agastache 'Grape Nectar' TM 		 USPPP. Propagation Prohibited. Grows 15-18" h x w. Zones 7-10. 		 AgasGrpNec 		 15-18" h x w"""" 		 

Apricot Nectar Agastache 		 Agastache 'Apricot Nectar' TM 		 USPPP. Propagation Prohibited. Grows 15-18" h x w. Zones 7-10. 		 AgasAprNec 		 15-18" h x w"""" 		 

Raspberry Nectar Agastache 		 Agastache 'Raspberry Nectar' TM 		 USPPP. Propagation Prohibited. Grows 15-18" h x w. Zones 7-10. 		 AgasRasNec 		 15-18" h x w"""" 		 

Ultra Violet Sage 		 Salvia greggii 'Ultra Violet' 		 USPP #21411. Patented; Propagation Prohibited. Compact; long bloom. Zones 5b-9. 		 SalvGUltrV 		 2' h x w; violet"""" 		 

Desert Marigold 		 Baileya multiradiata 		 Southwest Desert native. Silver leafed plant grows to 2' high. Bright yellow marigold-like flowers. Prefers sun; dry soil; low water. Annual; will reseed. Zones 3-9. 		 BailMulti 		 to 2' h"""" 		 

Spicy Orange Thyme 		 Thymus x 'Spicy Orange' 		 Low grower has spicy orange scent. Tolerates some foot traffic, but bees love the pink flowers. Prefers sun; low water. Good in borders or rock gardens. Zones 5-10. 		 ThymSpicOrn 		 1-4" h x 12" w"""" 		 

Vietnamese Cilantro / Rau Ram 		 Polygonum odoratum 		 Used in Vietnamese cooking for cilantro and mint flavors. Young leaves taste best. Low grower likes part to full shade; regular water. Zones 10-11. 		 PolygOdor 		 to 12" h; spreading""" 		 

Pink Friesland Sage 		 Salvia nemorosa 'Pink Friesland' 		 USPP #18152. Propagation prohibited. Bright pink bloom; sun; low to moderate water. Zones 3-9. 		 SalvNemPF 		 12" h x w"""" 		 

California Glory Flannel Bush 		 Fremontodendron x 'California Glory' 		 F. californicum x F. mexicanum. Grows up to 20' h x 15' w. Full sun; very well-drained soil; very low water. Rots easily. Large lemon-yellow flowers. Zones 7-10. 		 FremCAGlo 		 to 20' h x 15' w"""" 		 

Grace Ward Lithodora 		 Lithodora diffusa 'Grace Ward' 		 Low grower to 6" high & spreading. Dark green leaves with deep blue flowers in spring & summer. Prefers sun; very well-drained soil. Low water. Zones 6-10. 		 LithGraceW 		 to 6" h; spreading"""" 		 
